team,scorer,goals,penalty_goals,own_goals,first_goal_date,last_goal_date
South Africa,Themba Zwane,3,0,0,2024-01-21,2024-06-07
Japan,Keito Nakamura,3,0,0,2024-01-14,2024-06-06
Curacao,Rangelo Janga,3,1,0,2024-06-05,2024-06-05
Canada,Cyle Larin,3,0,0,2022-01-30,2024-03-23
IR Iran,Alireza Jahanbakhsh,3,2,0,2022-03-29,2024-02-07
Cabo Verde,Ryan Mendes,3,1,0,2023-11-21,2024-01-29
Australia,Harry Souttar,3,0,0,2023-11-16,2024-01-28
Senegal,Lamine Camara,3,0,0,2023-11-18,2024-01-15
IR Iran,Ramin Rezaeian,3,0,0,2022-11-25,2023-11-21
Netherlands,Calvin Stengs,3,0,0,2023-11-21,2023-11-21
Tunisia,Youssef Msakni,3,1,0,2022-01-23,2023-11-21
Scotland,Stuart Armstrong,3,0,0,2022-06-14,2023-11-19
Sweden,Viktor Claesson,3,0,0,2022-09-24,2023-11-19
Croatia,Lovro Majer,3,0,0,2022-09-22,2023-11-18
Australia,Mitchell Duke,3,0,0,2022-11-26,2023-11-16
Uruguay,Nicolás de la Cruz,3,0,0,2023-09-08,2023-10-17
Ecuador,Félix Torres,3,0,0,2022-01-27,2023-09-12
Mexico,Luis Chávez,3,0,0,2022-11-30,2023-07-12
USA,Brandon Vázquez,3,0,0,2023-06-24,2023-07-09
Netherlands,Steven Bergwijn,3,0,0,2022-06-03,2023-06-18
Turkiye,Cengiz Ünder,3,1,0,2022-06-04,2023-06-16
Switzerland,Renato Steffen,3,0,0,2023-03-25,2023-03-25
Czechia,Jan Kuchta,3,0,0,2022-06-02,2023-03-24
Tunisia,Wahbi Khazri,3,0,0,2022-01-16,2022-11-30
New Zealand,Bill Tuiloma,3,0,0,2022-03-24,2022-03-30
Morocco,Sofiane Boufal,3,2,0,2022-01-10,2022-01-30
Cote d'Ivoire,Bazoumana Touré,2,0,0,2025-12-31,2026-01-06
Tunisia,Firas Chaouat,2,0,0,2025-10-10,2026-01-03
Algeria,Farès Chaïbi,2,0,0,2023-11-19,2025-12-31
Algeria,Ibrahim Maza,2,0,0,2025-12-24,2025-12-31
Congo DR,Gaël Kakuta,2,1,0,2025-12-30,2025-12-30
Congo DR,Nathanaël Mbuku,2,0,0,2025-09-05,2025-12-30
Senegal,Abdoulaye Seck,2,0,0,2024-01-23,2025-12-30
Tunisia,Ismaël Gharbi,2,1,0,2025-10-10,2025-12-30
Tunisia,Ali Abdi,2,2,0,2025-10-13,2025-12-27
Belgium,Hans Vanaken,2,0,0,2025-11-15,2025-11-18
Haiti,Ruben Providence,2,0,0,2025-06-07,2025-11-18
Iraq,Amir Al-Ammari,2,1,0,2024-03-26,2025-11-18
Panama,César Blackman,2,0,0,2024-06-27,2025-11-18
Scotland,Kenny McLean,2,0,0,2023-06-17,2025-11-18
Scotland,Lawrence Shankland,2,0,0,2023-11-16,2025-11-18
Croatia,Kristijan Jakić,2,0,0,2025-09-08,2025-11-17
Croatia,Nikola Vlašić,2,0,0,2025-11-14,2025-11-17
Czechia,Adam Karabec,2,0,0,2025-10-12,2025-11-17
Czechia,David Douděra,2,0,0,2023-11-20,2025-11-17
France,Jean-Philippe Mateta,2,0,0,2025-10-13,2025-11-16
Norway,Jørgen Strand Larsen,2,0,0,2023-11-19,2025-11-16
Spain,Martin Zubimendi,2,0,0,2024-10-12,2025-11-15
Switzerland,Johan Manzambi,2,0,0,2025-10-10,2025-11-15
Congo DR,Chancel Mbemba,2,0,0,2024-02-02,2025-11-13
Curacao,Jordi Paulina,2,1,0,2025-11-13,2025-11-13
Panama,Cecilio Waterman,2,0,0,2025-11-13,2025-11-13
England,Anthony Gordon,2,0,0,2024-11-17,2025-10-14
Belgium,Thomas Meunier,2,0,0,2025-09-07,2025-10-13
Cabo Verde,Willy Semedo,2,0,0,2025-10-08,2025-10-13
