date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_norm,away_team_norm,home_points,away_points,home_goal_diff,away_goal_diff
1949-04-30,Bolivia,Paraguay,0,7,Copa América,Rio de Janeiro,Brazil,True,Bolivia,Paraguay,0,3,-7,7
1949-04-30,Brazil,Uruguay,5,1,Copa América,Rio de Janeiro,Brazil,False,Brazil,Uruguay,3,0,4,-4
1949-05-03,Colombia,Ecuador,1,4,Copa América,Rio de Janeiro,Brazil,True,Colombia,Ecuador,0,3,-3,3
1949-05-04,Peru,Uruguay,4,3,Copa América,Rio de Janeiro,Brazil,True,Peru,Uruguay,3,0,1,-1
1949-05-06,Bolivia,Colombia,4,0,Copa América,Rio de Janeiro,Brazil,True,Bolivia,Colombia,3,0,4,-4
1949-05-08,Brazil,Paraguay,1,2,Copa América,Rio de Janeiro,Brazil,False,Brazil,Paraguay,0,3,-1,1
1949-05-08,Chile,Uruguay,3,1,Copa América,Belo Horizonte,Brazil,True,Chile,Uruguay,3,0,2,-2
1949-05-08,Hungary,Austria,6,1,Central European International Cup,Budapest,Hungary,False,Hungary,Austria,3,0,5,-5
1949-05-11,Brazil,Paraguay,7,0,Copa América,Rio de Janeiro,Brazil,False,Brazil,Paraguay,3,0,7,-7
1949-05-12,Egypt,Turkey,2,3,Friendly,Athens,Greece,True,Egypt,Turkiye,0,3,-1,1
1949-05-13,Sweden,England,3,1,Friendly,Solna,Sweden,False,Sweden,England,3,0,2,-2
1949-05-15,Greece,Turkey,1,2,Friendly,Athens,Greece,False,Greece,Turkiye,0,3,-1,1
1949-05-15,Portugal,Wales,3,2,Friendly,Oeiras,Portugal,False,Portugal,Wales,3,0,1,-1
1949-05-18,Greece,Egypt,1,3,Friendly,Athens,Greece,False,Greece,Egypt,0,3,-2,2
1949-05-18,Norway,England,1,4,Friendly,Oslo,Norway,False,Norway,England,0,3,-3,3
1949-05-22,Belgium,Wales,3,1,Friendly,Liège,Belgium,False,Belgium,Wales,3,0,2,-2
1949-05-22,France,England,1,3,Friendly,Colombes,France,False,France,England,0,3,-2,2
